Tipo de dato;Periodo;Total
Índice;2001M12;136,978
Índice;2001M11;136,483
Índice;2001M10;136,585
Índice;2001M09;136,726
Índice;2001M08;136,745
Índice;2001M07;136,415
Índice;2001M06;136,081
Índice;2001M05;135,624
Índice;2001M04;135,113
Índice;2001M03;134,415
Índice;2001M02;133,851
Índice;2001M01;133,413
Índice;2000M12;133,366
Índice;2000M11;132,906
Índice;2000M10;132,576
Índice;2000M09;132,238
Índice;2000M08;131,897
Índice;2000M07;131,346
Índice;2000M06;130,553
Índice;2000M05;130,159
Índice;2000M04;129,943
Índice;2000M03;129,405
Índice;2000M02;128,894
Índice;2000M01;128,712
Índice;1999M12;128,29
Índice;1999M11;127,714
Índice;1999M10;127,509
Índice;1999M09;127,557
Índice;1999M08;127,312
Índice;1999M07;126,772
Índice;1999M06;126,225
Índice;1999M05;126,198
Índice;1999M04;126,202
Índice;1999M03;125,737
Índice;1999M02;125,185
Índice;1999M01;125,111
Índice;1998M12;124,653
Índice;1998M11;124,309
Índice;1998M10;124,421
Índice;1998M09;124,41
Índice;1998M08;124,318
Índice;1998M07;123,986
Índice;1998M06;123,53
Índice;1998M05;123,45
Índice;1998M04;123,289
Índice;1998M03;122,984
Índice;1998M02;122,927
Índice;1998M01;123,215
Índice;1997M12;122,925
Índice;1997M11;122,599
Índice;1997M10;122,356
Índice;1997M09;122,401
Índice;1997M08;121,798
Índice;1997M07;121,263
Índice;1997M06;121,041
Índice;1997M05;121,045
Índice;1997M04;120,869
Índice;1997M03;120,825
Índice;1997M02;120,765
Índice;1997M01;120,847
Índice;1996M12;120,497
Índice;1996M11;120,141
Índice;1996M10;120,134
Índice;1996M09;119,97
Índice;1996M08;119,678
Índice;1996M07;119,34
Índice;1996M06;119,181
Índice;1996M05;119,281
Índice;1996M04;118,871
Índice;1996M03;118,2
Índice;1996M02;117,782
Índice;1996M01;117,462
Índice;1995M12;116,748
Índice;1995M11;116,372
Índice;1995M10;116,064
Índice;1995M09;115,848
Índice;1995M08;115,394
Índice;1995M07;115,069
Índice;1995M06;115,051
Índice;1995M05;114,942
Índice;1995M04;114,896
Índice;1995M03;114,29
Índice;1995M02;113,628
Índice;1995M01;113,074
Índice;1994M12;111,914
Índice;1994M11;111,422
Índice;1994M10;111,229
Índice;1994M09;110,988
Índice;1994M08;110,651
Índice;1994M07;109,941
Índice;1994M06;109,512
Índice;1994M05;109,394
Índice;1994M04;109,171
Índice;1994M03;108,743
Índice;1994M02;108,385
Índice;1994M01;108,346
Índice;1993M12;107,262
Índice;1993M11;106,755
Índice;1993M10;106,576
Índice;1993M09;106,18
Índice;1993M08;105,583
Índice;1993M07;104,955
Índice;1993M06;104,581
Índice;1993M05;104,322
Índice;1993M04;104,035
Índice;1993M03;103,581
Índice;1993M02;103,218
Índice;1993M01;103,185
Índice;1992M12;102,227
Índice;1992M11;101,921
Índice;1992M10;101,856
Índice;1992M09;101,795
Índice;1992M08;100,962
Índice;1992M07;100,05
Índice;1992M06;99,726
Índice;1992M05;99,745
Índice;1992M04;99,485
Índice;1992M03;99,592
Índice;1992M02;99,233
Índice;1992M01;98,576
Índice;1991M12;97,038
Índice;1991M11;96,985
Índice;1991M10;96,838
Índice;1991M09;96,233
Índice;1991M08;95,453
Índice;1991M07;95,1
Índice;1991M06;93,934
Índice;1991M05;93,664
Índice;1991M04;93,399
Índice;1991M03;93,197
Índice;1991M02;92,895
Índice;1991M01;93,025
Índice;1990M12;91,955
Índice;1990M11;91,729
Índice;1990M10;91,821
Índice;1990M09;91,013
Índice;1990M08;90,065
Índice;1990M07;89,672
Índice;1990M06;88,483
Índice;1990M05;88,211
Índice;1990M04;88,218
Índice;1990M03;88,018
Índice;1990M02;87,697
Índice;1990M01;87,144
Índice;1989M12;86,304
Índice;1989M11;85,969
Índice;1989M10;85,83
Índice;1989M09;85,485
Índice;1989M08;84,59
Índice;1989M07;84,396
Índice;1989M06;83,048
Índice;1989M05;82,598
Índice;1989M04;82,481
Índice;1989M03;82,26
Índice;1989M02;81,738
Índice;1989M01;81,68
Índice;1988M12;80,742
Índice;1988M11;80,105
Índice;1988M10;80,15
Índice;1988M09;80,06
Índice;1988M08;79,363
Índice;1988M07;78,586
Índice;1988M06;77,562
Índice;1988M05;77,262
Índice;1988M04;77,266
Índice;1988M03;77,536
Índice;1988M02;76,978
Índice;1988M01;76,768
Índice;1987M12;76,284
Índice;1987M11;76,012
Índice;1987M10;76,187
Índice;1987M09;75,737
Índice;1987M08;75,045
Índice;1987M07;75,078
Índice;1987M06;74,325
Índice;1987M05;74,307
Índice;1987M04;74,399
Índice;1987M03;74,231
Índice;1987M02;73,802
Índice;1987M01;73,489
Índice;1986M12;72,93
Índice;1986M11;72,62
Índice;1986M10;72,787
Índice;1986M09;72,516
Índice;1986M08;71,773
Índice;1986M07;71,57
Índice;1986M06;70,862
Índice;1986M05;70,217
Índice;1986M04;70,022
Índice;1986M03;69,852
Índice;1986M02;69,617
Índice;1986M01;69,308
Índice;1985M12;67,371
Índice;1985M11;67,093
Índice;1985M10;66,58
Índice;1985M09;66,239
Índice;1985M08;65,52
Índice;1985M07;65,422
Índice;1985M06;65,052
Índice;1985M05;65,163
Índice;1985M04;64,959
Índice;1985M03;64,296
Índice;1985M02;63,898
Índice;1985M01;63,438
Índice;1984M12;62,278
Índice;1984M11;61,859
Índice;1984M10;61,543
Índice;1984M09;61,174
Índice;1984M08;61,05
Índice;1984M07;60,629
Índice;1984M06;59,712
Índice;1984M05;59,292
Índice;1984M04;58,973
