Scenario,Asset,Strategy,Seed,Final Date,Final Value,Total Invested,Random Value
A,^GSPC,first,1,4/11/25,2684.99,2500,2646.13
A,^GSPC,first,2,4/11/25,2684.99,2500,2666.6
A,^GSPC,first,3,4/11/25,2684.99,2500,2608.15
A,^GSPC,first,4,4/11/25,2684.99,2500,2793.15
A,^GSPC,first,5,4/11/25,2684.99,2500,2670.39
A,^GSPC,first,6,4/11/25,2684.99,2500,2675.61
A,^GSPC,first,7,4/11/25,2684.99,2500,2735.55
A,^GSPC,first,8,4/11/25,2684.99,2500,2665.74
A,^GSPC,first,9,4/11/25,2684.99,2500,2654.89
A,^GSPC,first,10,4/11/25,2684.99,2500,2653.06
A,^GSPC,first,11,4/11/25,2684.99,2500,2618.05
A,^GSPC,first,12,4/11/25,2684.99,2500,2575.47
A,^GSPC,first,13,4/11/25,2684.99,2500,2777.62
A,^GSPC,first,14,4/11/25,2684.99,2500,2713.31
A,^GSPC,first,15,4/11/25,2684.99,2500,2797.73
A,^GSPC,first,16,4/11/25,2684.99,2500,2700.95
A,^GSPC,first,17,4/11/25,2684.99,2500,2717.15
A,^GSPC,first,18,4/11/25,2684.99,2500,2764.18
A,^GSPC,first,19,4/11/25,2684.99,2500,2739.65
A,^GSPC,first,20,4/11/25,2684.99,2500,2690.84
A,^GSPC,first,21,4/11/25,2684.99,2500,2682.4
A,^GSPC,first,22,4/11/25,2684.99,2500,2747.3
A,^GSPC,first,23,4/11/25,2684.99,2500,2698.62
A,^GSPC,first,24,4/11/25,2684.99,2500,2736.67
A,^GSPC,first,25,4/11/25,2684.99,2500,2693.03
A,^GSPC,first,26,4/11/25,2684.99,2500,2718.9
A,^GSPC,first,27,4/11/25,2684.99,2500,2726.54
A,^GSPC,first,28,4/11/25,2684.99,2500,2772.47
A,^GSPC,first,29,4/11/25,2684.99,2500,2649.39
A,^GSPC,first,30,4/11/25,2684.99,2500,2716.8
A,^GSPC,first,31,4/11/25,2684.99,2500,2783.52
A,^GSPC,first,32,4/11/25,2684.99,2500,2722.86
A,^GSPC,first,33,4/11/25,2684.99,2500,2613.88
A,^GSPC,first,34,4/11/25,2684.99,2500,2711.45
A,^GSPC,first,35,4/11/25,2684.99,2500,2692.41
A,^GSPC,first,36,4/11/25,2684.99,2500,2670.77
A,^GSPC,first,37,4/11/25,2684.99,2500,2614.26
A,^GSPC,first,38,4/11/25,2684.99,2500,2642.83
A,^GSPC,first,39,4/11/25,2684.99,2500,2729.48
A,^GSPC,first,40,4/11/25,2684.99,2500,2726.87
A,^GSPC,first,41,4/11/25,2684.99,2500,2758.09
A,^GSPC,first,42,4/11/25,2684.99,2500,2800.44
A,^GSPC,first,43,4/11/25,2684.99,2500,2622.42
A,^GSPC,first,44,4/11/25,2684.99,2500,2667.57
A,^GSPC,first,45,4/11/25,2684.99,2500,2813.09
A,^GSPC,first,46,4/11/25,2684.99,2500,2733.57
A,^GSPC,first,47,4/11/25,2684.99,2500,2616.72
