Scenario,Asset,Strategy,Proportion Final > Random
A,GC=F,0.98buythedip,0.0
A,GC=F,buythedip,0.0
A,GC=F,complexbuythedip,0.86
A,GC=F,first,0.39
A,GC=F,growing,0.88
A,GC=F,losing,0.58
A,^GSPC,0.98buythedip,0.0
A,^GSPC,buythedip,0.0
A,^GSPC,complexbuythedip,0.97
A,^GSPC,first,0.41
A,^GSPC,growing,0.5
A,^GSPC,losing,0.99
A,^IXIC,0.98buythedip,0.0
A,^IXIC,buythedip,0.0
A,^IXIC,complexbuythedip,0.94
A,^IXIC,first,0.44
A,^IXIC,growing,0.46
A,^IXIC,losing,0.46
B,GC=F,0.98buythedip,0.0
B,GC=F,buythedip,0.0
B,GC=F,complexbuythedip,0.86
B,GC=F,first,0.39
B,GC=F,growing,0.88
B,GC=F,losing,0.58
B,^GSPC,0.98buythedip,0.0
B,^GSPC,buythedip,0.0
B,^GSPC,complexbuythedip,0.97
B,^GSPC,first,0.41
B,^GSPC,growing,0.5
B,^GSPC,losing,0.99
B,^IXIC,0.98buythedip,0.0
B,^IXIC,buythedip,0.0
B,^IXIC,complexbuythedip,0.94
B,^IXIC,first,0.44
B,^IXIC,growing,0.46
B,^IXIC,losing,0.46
C,GC=F,0.98buythedip,0.0
C,GC=F,buythedip,0.0
C,GC=F,complexbuythedip,0.65
C,GC=F,first,0.51
C,GC=F,growing,0.7
C,GC=F,losing,0.59
C,^GSPC,0.98buythedip,0.0
C,^GSPC,buythedip,0.0
C,^GSPC,complexbuythedip,0.52
C,^GSPC,first,0.43
C,^GSPC,growing,0.5
C,^GSPC,losing,0.49
C,^IXIC,0.98buythedip,0.0
C,^IXIC,buythedip,0.0
C,^IXIC,complexbuythedip,0.5
C,^IXIC,first,0.41
C,^IXIC,growing,0.46
C,^IXIC,losing,0.46
D,GC=F,0.98buythedip,0.0
D,GC=F,buythedip,0.0
D,GC=F,complexbuythedip,0.65
D,GC=F,first,0.51
D,GC=F,growing,0.7
D,GC=F,losing,0.59
D,^GSPC,0.98buythedip,0.0
D,^GSPC,buythedip,0.0
D,^GSPC,complexbuythedip,0.52
D,^GSPC,first,0.43
D,^GSPC,growing,0.5
D,^GSPC,losing,0.49
D,^IXIC,0.98buythedip,0.0
D,^IXIC,buythedip,0.0
D,^IXIC,complexbuythedip,0.5
D,^IXIC,first,0.41
D,^IXIC,growing,0.46
D,^IXIC,losing,0.46
